#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          2.0893     4.72916e-06     4.72916e-06     4.72916e-06
          2.2216     4.07509e-06     4.07509e-06     4.07509e-06
         2.36229     3.50945e-06     3.50945e-06     3.50945e-06
         2.51189     3.02063e-06     3.02063e-06     3.02063e-06
         2.67096     2.59847e-06     2.59847e-06     2.59847e-06
          2.8401      2.2341e-06      2.2341e-06      2.2341e-06
         3.01995     1.91982e-06     1.91982e-06     1.91982e-06
         3.21119      1.6489e-06      1.6489e-06      1.6489e-06
         3.41455      1.4155e-06      1.4155e-06      1.4155e-06
         3.63078     1.21454e-06     1.21454e-06     1.21454e-06
         3.86071      1.0416e-06      1.0416e-06      1.0416e-06
         4.10519     8.92877e-07     8.92877e-07     8.92877e-07
         4.36516     7.65034e-07     7.65034e-07     7.65034e-07
         4.64159     6.55201e-07     6.55201e-07     6.55201e-07
         4.93552      5.6089e-07      5.6089e-07      5.6089e-07
         5.24807     4.79948e-07     4.79948e-07     4.79948e-07
         5.58042     4.10515e-07     4.10515e-07     4.10515e-07
         5.93381     3.50983e-07     3.50983e-07     3.50983e-07
         6.30957     2.99963e-07     2.99963e-07     2.99963e-07
         6.70914      2.5626e-07      2.5626e-07      2.5626e-07
           7.134      2.1884e-07      2.1884e-07      2.1884e-07
         7.58578     1.86815e-07     1.86815e-07     1.86815e-07
         8.06616     1.59417e-07     1.59417e-07     1.59417e-07
         8.57696     1.35989e-07     1.35989e-07     1.35989e-07
         9.12011     1.15964e-07     1.15964e-07     1.15964e-07
         9.69765     9.88535e-08     9.88535e-08     9.88535e-08
         10.3118     8.42395e-08     8.42395e-08     8.42395e-08
         10.9648     7.17625e-08     7.17625e-08     7.17625e-08
         11.6591      6.1114e-08      6.1114e-08      6.1114e-08
         12.3975     5.20293e-08     5.20293e-08     5.20293e-08
         13.1826     4.42815e-08     4.42815e-08     4.42815e-08
         14.0174     3.76762e-08     3.76762e-08     3.76762e-08
          14.905     3.20468e-08     3.20468e-08     3.20468e-08
         15.8489     2.72507e-08     2.72507e-08     2.72507e-08
         16.8526     2.31659e-08     2.31659e-08     2.31659e-08
         17.9198     1.96879e-08     1.96879e-08     1.96879e-08
         19.0546     1.67277e-08     1.67277e-08     1.67277e-08
         20.2613     1.42088e-08     1.42088e-08     1.42088e-08
         21.5443     1.20661e-08     1.20661e-08     1.20661e-08
         22.9087     1.02439e-08     1.02439e-08     1.02439e-08
         24.3594     8.69477e-09     8.69477e-09     8.69477e-09
          25.902     7.37812e-09     7.37812e-09     7.37812e-09
         27.5423     6.25936e-09     6.25936e-09     6.25936e-09
         29.2864     5.30902e-09     5.30902e-09     5.30902e-09
         31.1411     4.50193e-09     4.50193e-09     4.50193e-09
         33.1131     3.81669e-09     3.81669e-09     3.81669e-09
         35.2101     3.23505e-09     3.23505e-09     3.23505e-09
         37.4398     2.74145e-09     2.74145e-09     2.74145e-09
         39.8107     2.32268e-09     2.32268e-09     2.32268e-09
         42.3318     1.96748e-09     1.96748e-09     1.96748e-09
         45.0125     1.66626e-09     1.66626e-09     1.66626e-09
          47.863     1.41087e-09     1.41087e-09     1.41087e-09
          50.894      1.1944e-09      1.1944e-09      1.1944e-09
          54.117     1.01095e-09     1.01095e-09     1.01095e-09
          57.544     8.55511e-10     8.55511e-10     8.55511e-10
         61.1881     7.23841e-10     7.23841e-10     7.23841e-10
         65.0629     6.12326e-10     6.12326e-10     6.12326e-10
         69.1831     5.17899e-10     5.17899e-10     5.17899e-10
         73.5642     4.37958e-10     4.37958e-10     4.37958e-10
         78.2228     3.70293e-10     3.70293e-10     3.70293e-10
         83.1764      3.1303e-10      3.1303e-10      3.1303e-10
         88.4437     2.64578e-10     2.64578e-10     2.64578e-10
         94.0445      2.2359e-10      2.2359e-10      2.2359e-10
             100     1.88922e-10     1.88922e-10     1.88922e-10
         106.333     1.59604e-10     1.59604e-10     1.59604e-10
         113.066     1.34815e-10     1.34815e-10     1.34815e-10
         120.226     1.13859e-10     1.13859e-10     1.13859e-10
          127.84     9.61466e-11     9.61466e-11     9.61466e-11
         135.936     8.11776e-11     8.11776e-11     8.11776e-11
         144.544     6.85292e-11     6.85292e-11     6.85292e-11
         153.697     5.78434e-11     5.78434e-11     5.78434e-11
         163.431     4.88171e-11     4.88171e-11     4.88171e-11
          173.78     4.11938e-11     4.11938e-11     4.11938e-11
         184.785     3.47562e-11     3.47562e-11     3.47562e-11
         196.487     2.93208e-11     2.93208e-11     2.93208e-11
          208.93     2.47322e-11     2.47322e-11     2.47322e-11
          222.16      2.0859e-11      2.0859e-11      2.0859e-11
         236.229     1.75902e-11     1.75902e-11     1.75902e-11
         251.189     1.48318e-11     1.48318e-11     1.48318e-11
         267.096     1.25044e-11     1.25044e-11     1.25044e-11
          284.01      1.0541e-11      1.0541e-11      1.0541e-11
         301.995     8.88482e-12     8.88482e-12     8.88482e-12
         321.119     7.48798e-12     7.48798e-12     7.48798e-12
         341.455     6.31002e-12     6.31002e-12     6.31002e-12
         363.078     5.31677e-12     5.31677e-12     5.31677e-12
         386.071     4.47936e-12     4.47936e-12     4.47936e-12
         410.519     3.77344e-12     3.77344e-12     3.77344e-12
         436.516     3.17842e-12     3.17842e-12     3.17842e-12
         464.159     2.67695e-12     2.67695e-12     2.67695e-12
         493.552     2.25435e-12     2.25435e-12     2.25435e-12
         524.807     1.89828e-12     1.89828e-12     1.89828e-12
         558.042     1.59828e-12     1.59828e-12     1.59828e-12
         593.381     1.34556e-12     1.34556e-12     1.34556e-12
         630.957     1.13268e-12     1.13268e-12     1.13268e-12
         670.914     9.53393e-13     9.53393e-13     9.53393e-13
           713.4     8.02406e-13     8.02406e-13     8.02406e-13
         758.578     6.75266e-13     6.75266e-13     6.75266e-13
         806.616     5.68218e-13     5.68218e-13     5.68218e-13
         857.696     4.78095e-13     4.78095e-13     4.78095e-13
         912.011      4.0223e-13      4.0223e-13      4.0223e-13
         969.765     3.38373e-13     3.38373e-13     3.38373e-13
         1031.18     2.84628e-13     2.84628e-13     2.84628e-13
         1096.48     2.39399e-13     2.39399e-13     2.39399e-13
         1165.91      2.0134e-13      2.0134e-13      2.0134e-13
         1239.75     1.69316e-13     1.69316e-13     1.69316e-13
         1318.26     1.42374e-13     1.42374e-13     1.42374e-13
         1401.74      1.1971e-13      1.1971e-13      1.1971e-13
          1490.5     1.00645e-13     1.00645e-13     1.00645e-13
         1584.89     8.46089e-14     8.46089e-14     8.46089e-14
         1685.26     7.11226e-14     7.11226e-14     7.11226e-14
         1791.98     5.97811e-14     5.97811e-14     5.97811e-14
